"","CustomerID","Recency","mon_value","Frequency","Recency_group","Frequency_group","mon_value_group"
"65",12838,31,390.79,1,"oldest","very rare","large"
"66",12839,15,737.45,2,"very recent","rare","very large"
"67",12841,27,505.99,2,"oldest","rare","large"
"68",12855,30,38.1,1,"oldest","very rare","small"
"69",12867,18,362.79,1,"recent","very rare","large"
"70",12868,31,203.3,1,"oldest","very rare","medium"
"71",12872,23,378.53,1,"old","very rare","large"
"72",12875,20,293.76,1,"recent","very rare","medium"
"73",12877,16,150.06,1,"very recent","very rare","small"
"74",12913,26,417.62,1,"old","very rare","large"
"75",12915,30,199.65,1,"oldest","very rare","medium"
"76",12921,24,687.8,2,"old","rare","very large"
"77",12928,17,392.34,1,"recent","very rare","large"
"78",12931,15,177,2,"very recent","rare","small"
"79",12942,23,258.75,1,"old","very rare","medium"
"80",12944,12,286.95,1,"very recent","very rare","medium"
"81",12947,31,304.04,1,"oldest","very rare","medium"
"82",12963,23,365.8,1,"old","very rare","large"
"83",12967,16,1660.9,2,"very recent","rare","very large"
"84",12971,11,436.19,5,"very recent","frequent","large"
"85",12980,16,889.32,1,"very recent","very rare","very large"
"86",12989,22,202.5,1,"recent","very rare","medium"
"87",13000,22,201.75,1,"recent","very rare","medium"
"88",13004,15,357.01,1,"very recent","very rare","large"
"89",13011,30,50.55,1,"oldest","very rare","small"
"90",13013,29,1528.34,2,"oldest","rare","very large"
"91",13021,16,157.35,1,"very recent","very rare","small"
"92",13027,12,1440,1,"very recent","very rare","very large"
"93",13029,11,382.5,1,"very recent","very rare","large"
"94",13030,26,427.74,1,"old","very rare","large"
"95",13033,15,190.55,1,"very recent","very rare","small"
"96",13034,27,165.86,1,"oldest","very rare","small"
"97",13047,31,366.63,3,"oldest","rare","large"
"98",13050,12,1199.87,4,"very recent","frequent","very large"
"99",13065,31,205.86,1,"oldest","very rare","medium"
"100",13069,19,644.12,4,"recent","frequent","very large"
"101",13077,24,313.72,1,"old","very rare","medium"
"102",13078,17,881.16,2,"recent","rare","very large"
"103",13081,29,2366.78,2,"oldest","rare","very large"
"104",13089,16,5953.21,8,"very recent","frequent","very large"
"105",13090,23,993.4,2,"old","rare","very large"
"106",13092,17,185.45,1,"recent","very rare","small"
"107",13093,16,3795.51,3,"very recent","rare","very large"
"108",13094,26,223.68,1,"old","very rare","medium"
"109",13097,18,304.9,1,"recent","very rare","medium"
"110",13102,18,673.92,2,"recent","rare","very large"
"111",13104,12,101.76,1,"very recent","very rare","small"
"112",13108,30,350.06,1,"oldest","very rare","large"
"113",13113,24,372.97,1,"old","very rare","large"
"114",13117,23,388.15,2,"old","rare","large"
"115",13124,17,1256.32,1,"recent","very rare","very large"
"116",13126,24,223.44,2,"old","rare","medium"
"117",13138,30,193.23,1,"oldest","very rare","small"
"118",13140,24,159.51,1,"old","very rare","small"
"119",13145,30,295,1,"oldest","very rare","medium"
"120",13148,22,309.4,1,"recent","very rare","medium"
"121",13155,26,379.7,1,"old","very rare","large"
"122",13165,9,354.64,1,"very recent","very rare","large"
"123",13173,25,165.94,1,"old","very rare","small"
"124",13174,27,1415.97,1,"oldest","very rare","very large"
"125",13178,18,710,1,"recent","very rare","very large"
"126",13198,19,384.55,1,"recent","very rare","large"
"127",13199,16,711.8,2,"very recent","rare","very large"
"128",13209,19,318.85,1,"recent","very rare","medium"
"129",13211,19,110.7,1,"recent","very rare","small"
"130",13221,17,498.16,1,"recent","very rare","large"
"131",13225,19,1206.72,1,"recent","very rare","very large"
"132",13230,23,93.45,1,"old","very rare","small"
"133",13238,18,91.15,1,"recent","very rare","small"
"134",13240,23,224.07,1,"old","very rare","medium"
"135",13255,31,225.7,1,"oldest","very rare","medium"
"136",13267,18,622.3,2,"recent","rare","very large"
"137",13269,19,662.17,2,"recent","rare","very large"
"138",13270,24,590,1,"old","very rare","very large"
"139",13295,17,201.2,1,"recent","very rare","medium"
"140",13304,9,300.42,1,"very recent","very rare","medium"
"141",13305,30,136.2,1,"oldest","very rare","small"
"142",13317,16,238.05,2,"very recent","rare","medium"
"143",13319,12,1551.08,4,"very recent","frequent","very large"
"144",13324,18,650.1,1,"recent","very rare","very large"
"145",13327,23,745,2,"old","rare","very large"
"146",13329,24,304.2,1,"old","very rare","medium"
"147",13369,23,258.28,1,"old","very rare","medium"
"148",13370,29,754.87,1,"oldest","very rare","very large"
"149",13402,30,308.28,1,"oldest","very rare","medium"
"150",13408,16,3031.2,5,"very recent","frequent","very large"
"151",13418,17,1579.62,5,"recent","frequent","very large"
"152",13426,17,336.98,1,"recent","very rare","large"
"153",13448,22,829.54,3,"recent","rare","very large"
"154",13455,24,692.94,1,"old","very rare","very large"
"155",13458,17,1185.86,1,"recent","very rare","very large"
"156",13468,16,911,4,"very recent","frequent","very large"
"157",13487,11,193.15,1,"very recent","very rare","small"
"158",13488,25,1381.92,1,"old","very rare","very large"
"159",13491,17,196.4,2,"recent","rare","small"
"160",13495,17,865.43,2,"recent","rare","very large"
"161",13496,17,501.01,1,"recent","very rare","large"
"162",13497,26,153.5,1,"old","very rare","small"
"163",13506,27,301.12,1,"oldest","very rare","medium"
"164",13520,29,223.4,1,"oldest","very rare","medium"
"165",13523,24,566.95,1,"old","very rare","large"
"166",13531,24,305.45,1,"old","very rare","medium"
"167",13534,16,283.2,2,"very recent","rare","medium"
"168",13564,12,1198.38,2,"very recent","rare","very large"
"169",13569,25,118.32,1,"old","very rare","small"
"170",13576,31,349.15,1,"oldest","very rare","large"
"171",13579,27,164.7,1,"oldest","very rare","small"
"172",13599,24,352.84,2,"old","rare","large"
"173",13611,17,303.15,1,"recent","very rare","medium"
"174",13627,15,311.19,1,"very recent","very rare","medium"
"175",13649,24,197.8,1,"old","very rare","medium"
"176",13652,26,308.8,1,"old","very rare","medium"
"177",13668,20,177.66,1,"recent","very rare","small"
"178",13694,16,2897.04,2,"very recent","rare","very large"
"179",13705,31,318.14,1,"oldest","very rare","medium"
"180",13715,20,496.63,3,"recent","rare","large"
"181",13747,31,79.6,1,"oldest","very rare","small"
"182",13748,31,204,1,"oldest","very rare","medium"
"183",13756,16,1004.4,3,"very recent","rare","very large"
"184",13758,24,718.85,2,"old","rare","very large"
"185",13767,16,2439.36,6,"very recent","frequent","very large"
"186",13769,25,322.3,1,"old","very rare","medium"
"187",13777,9,6961.78,10,"very recent","frequent","very large"
"188",13786,25,230.4,1,"old","very rare","medium"
"189",13787,22,106.4,1,"recent","very rare","small"
"190",13798,22,4170.66,2,"recent","rare","very large"
"191",13807,25,112.6,1,"old","very rare","small"
"192",13817,9,110.7,1,"very recent","very rare","small"
"193",13831,27,408,1,"oldest","very rare","large"
"194",13838,27,238.11,1,"oldest","very rare","medium"
"195",13842,24,310.57,1,"old","very rare","medium"
"196",13846,18,411.4,1,"recent","very rare","large"
"197",13848,24,320,1,"old","very rare","medium"
"198",13854,15,609.44,2,"very recent","rare","very large"
"199",13869,15,323.62,1,"very recent","very rare","large"
"200",13874,16,540.45,1,"very recent","very rare","large"
"201",13880,25,97.8,1,"old","very rare","small"
"202",13890,16,190.35,1,"very recent","very rare","small"
"203",13922,9,172.25,1,"very recent","very rare","small"
"204",13941,30,1095.12,1,"oldest","very rare","very large"
"205",13948,18,102,1,"recent","very rare","small"
"206",13953,10,500,1,"very recent","very rare","large"
"207",13959,20,214.74,1,"recent","very rare","medium"
"208",13963,25,151.3,1,"old","very rare","small"
"209",13969,23,317.59,1,"old","very rare","medium"
"210",13982,23,428.6,1,"old","very rare","large"
"211",13983,24,329.36,1,"old","very rare","large"
"212",13984,24,154.8,1,"old","very rare","small"
"213",13999,19,302.1,1,"recent","very rare","medium"
"214",14001,31,301.24,1,"oldest","very rare","medium"
"215",14016,15,703.74,1,"very recent","very rare","very large"
"216",14030,24,676.5,2,"old","rare","very large"
"217",14031,15,2568.95,3,"very recent","rare","very large"
"218",14032,13,619.42,2,"very recent","rare","very large"
"219",14037,22,111.8,1,"recent","very rare","small"
"220",14045,31,326.4,1,"oldest","very rare","large"
"221",14047,30,286.92,1,"oldest","very rare","medium"
"222",14051,12,1828.16,3,"very recent","rare","very large"
"223",14057,18,925.92,2,"recent","rare","very large"
"224",14060,17,874.04,3,"recent","rare","very large"
"225",14062,12,1444.12,3,"very recent","rare","very large"
"226",14078,31,136.24,1,"oldest","very rare","small"
"227",14081,27,423.52,1,"oldest","very rare","large"
"228",14082,22,182.25,1,"recent","very rare","small"
"229",14083,12,459.89,3,"very recent","rare","large"
"230",14085,9,1190.24,3,"very recent","rare","very large"
"231",14092,10,601.73,2,"very recent","rare","very large"
"232",14099,12,383.52,1,"very recent","very rare","large"
"233",14107,22,363.24,1,"recent","very rare","large"
"234",14113,12,433.5,1,"very recent","very rare","large"
"235",14135,11,947.05,4,"very recent","frequent","very large"
"236",14142,31,311.81,1,"oldest","very rare","medium"
"237",14146,15,1241.43,1,"very recent","very rare","very large"
"238",14150,17,306.18,1,"recent","very rare","medium"
"239",14156,29,322.2,1,"oldest","very rare","medium"
"240",14159,20,193.22,1,"recent","very rare","small"
"241",14161,27,283.15,1,"oldest","very rare","medium"
"242",14176,25,159.55,1,"old","very rare","small"
"243",14180,16,896.25,4,"very recent","frequent","very large"
"244",14189,26,311.24,1,"old","very rare","medium"
"245",14201,17,67.24,1,"recent","very rare","small"
"246",14210,29,304.95,1,"oldest","very rare","medium"
"247",14215,26,166,1,"old","very rare","small"
"248",14217,24,118.3,1,"old","very rare","small"
"249",14220,16,312.98,1,"very recent","very rare","medium"
"250",14236,30,189.3,1,"oldest","very rare","small"
"251",14237,31,161,1,"oldest","very rare","small"
"252",14243,15,472,2,"very recent","rare","large"
"253",14256,22,523.86,1,"recent","very rare","large"
"254",14282,25,571,1,"old","very rare","large"
"255",14290,19,777.56,1,"recent","very rare","very large"
"256",14293,26,364.92,1,"old","very rare","large"
"257",14298,12,4689.46,5,"very recent","frequent","very large"
"258",14299,23,429.24,1,"old","very rare","large"
"259",14307,31,783.11,1,"oldest","very rare","very large"
"260",14309,16,147.75,1,"very recent","very rare","small"
"261",14334,16,320.15,1,"very recent","very rare","medium"
"262",14344,16,355.65,3,"very recent","rare","large"
"263",14355,23,174.4,1,"old","very rare","small"
"264",14373,16,76.55,1,"very recent","very rare","small"
"265",14388,30,312.8,1,"oldest","very rare","medium"
"266",14390,30,223.7,1,"oldest","very rare","medium"
"267",14395,30,308.68,1,"oldest","very rare","medium"
"268",14396,29,110.35,1,"oldest","very rare","small"
"269",14401,17,247.38,1,"recent","very rare","medium"
"270",14404,27,133.48,1,"oldest","very rare","small"
"271",14409,26,328.8,2,"old","rare","large"
"272",14413,20,122.7,1,"recent","very rare","small"
"273",14414,16,217.2,1,"very recent","very rare","medium"
"274",14415,18,875.18,1,"recent","very rare","very large"
"275",14419,22,124.1,1,"recent","very rare","small"
"276",14437,23,63,1,"old","very rare","small"
"277",14440,23,656.7,1,"old","very rare","very large"
"278",14443,26,303.5,1,"old","very rare","medium"
"279",14448,22,102.35,1,"recent","very rare","small"
"280",14449,30,210.24,1,"oldest","very rare","medium"
"281",14466,30,379.75,1,"oldest","very rare","large"
"282",14472,13,279.88,1,"very recent","very rare","medium"
"283",14479,23,174.4,1,"old","very rare","small"
"284",14487,26,125.1,1,"old","very rare","small"
"285",14491,30,127.2,1,"oldest","very rare","small"
"286",14496,31,304.34,1,"oldest","very rare","medium"
"287",14498,19,166.22,1,"recent","very rare","small"
"288",14505,20,1050.35,1,"recent","very rare","very large"
"289",14506,27,269.7,1,"oldest","very rare","medium"
"290",14524,18,275.45,1,"recent","very rare","medium"
"291",14525,19,462.3,1,"recent","very rare","large"
"292",14527,12,925.49,4,"very recent","frequent","very large"
"293",14532,10,222.6,1,"very recent","very rare","medium"
"294",14533,10,433.5,1,"very recent","very rare","large"
"295",14543,22,254.4,1,"recent","very rare","medium"
"296",14544,19,1121.92,1,"recent","very rare","very large"
"297",14560,15,408.17,1,"very recent","very rare","large"
"298",14565,19,1167.41,1,"recent","very rare","very large"
"299",14573,30,413.1,1,"oldest","very rare","large"
"300",14576,30,35.4,1,"oldest","very rare","small"
"301",14577,20,346.9,1,"recent","very rare","large"
"302",14589,29,39.75,1,"oldest","very rare","small"
"303",14594,31,255,1,"oldest","very rare","medium"
"304",14606,10,1246.66,8,"very recent","frequent","very large"
"305",14608,20,204,1,"recent","very rare","medium"
"306",14621,16,305.7,1,"very recent","very rare","medium"
"307",14625,19,585.53,1,"recent","very rare","very large"
"308",14639,19,676.54,1,"recent","very rare","very large"
"309",14643,16,357.94,1,"very recent","very rare","large"
"310",14646,11,8576.88,2,"very recent","rare","very large"
"311",14667,18,1998.1,5,"recent","frequent","very large"
"312",14673,25,373.49,1,"old","very rare","large"
"313",14680,18,2875.4,2,"recent","rare","very large"
"314",14684,20,168.36,1,"recent","very rare","small"
"315",14688,31,444.98,1,"oldest","very rare","large"
"316",14696,31,294.62,1,"oldest","very rare","medium"
"317",14702,23,318.7,1,"old","very rare","medium"
"318",14708,26,419.06,1,"old","very rare","large"
"319",14709,16,314.1,1,"very recent","very rare","medium"
"320",14713,16,425.85,2,"very recent","rare","large"
"321",14723,16,469.3,3,"very recent","rare","large"
"322",14729,31,313.49,1,"oldest","very rare","medium"
"323",14733,12,4357.22,3,"very recent","rare","very large"
"324",14735,16,252.2,1,"very recent","very rare","medium"
"325",14737,11,434,1,"very recent","very rare","large"
"326",14739,25,713.88,1,"old","very rare","very large"
"327",14741,19,495.3,2,"recent","rare","large"
"328",14744,24,225,1,"old","very rare","medium"
"329",14748,26,470.42,2,"old","rare","large"
"330",14766,24,180.4,1,"old","very rare","small"
"331",14769,15,347.01,1,"very recent","very rare","large"
"332",14775,30,406.56,1,"oldest","very rare","large"
"333",14796,19,1028.82,2,"recent","rare","very large"
"334",14800,20,1219.85,2,"recent","rare","very large"
"335",14810,27,180.44,1,"oldest","very rare","small"
"336",14813,27,155.43,2,"oldest","rare","small"
"337",14821,24,48.8,1,"old","very rare","small"
"338",14825,16,396.43,2,"very recent","rare","large"
"339",14829,18,385.33,2,"recent","rare","large"
"340",14841,16,395.16,1,"very recent","very rare","large"
"341",14849,16,566.89,5,"very recent","frequent","large"
"342",14865,30,37.2,1,"oldest","very rare","small"
"343",14866,24,103.68,1,"old","very rare","small"
"344",14871,18,140.4,1,"recent","very rare","small"
"345",14878,16,322.01,1,"very recent","very rare","medium"
"346",14896,23,257.22,1,"old","very rare","medium"
"347",14898,29,98.5,1,"oldest","very rare","small"
"348",14901,18,497.05,3,"recent","rare","large"
"349",14907,18,960.69,3,"recent","rare","very large"
"350",14911,9,7487.94,13,"very recent","very frequent","very large"
"351",14913,17,300.87,1,"recent","very rare","medium"
"352",14932,23,313.53,1,"old","very rare","medium"
"353",14952,22,686.16,1,"recent","very rare","very large"
"354",14961,18,1182.7,2,"recent","rare","very large"
"355",14985,16,124.51,1,"very recent","very rare","small"
"356",14987,23,163.2,1,"old","very rare","small"
"357",15002,25,631.65,1,"old","very rare","very large"
"358",15005,17,470.41,2,"recent","rare","large"
"359",15012,31,191.06,1,"oldest","very rare","small"
"360",15018,25,111.25,1,"old","very rare","small"
"361",15021,24,205.64,1,"old","very rare","medium"
"362",15023,27,460.6,1,"oldest","very rare","large"
"363",15024,25,491.22,2,"old","rare","large"
"364",15028,26,185.97,1,"old","very rare","small"
"365",15032,24,2770.6,2,"old","rare","very large"
"366",15034,11,842.9,1,"very recent","very rare","very large"
"367",15038,27,126.43,1,"oldest","very rare","small"
"368",15039,18,1317.76,2,"recent","rare","very large"
"369",15044,10,2139.15,4,"very recent","frequent","very large"
"370",15048,26,98.7,1,"old","very rare","small"
"371",15061,17,19950.66,12,"recent","very frequent","very large"
"372",15062,17,209.08,1,"recent","very rare","medium"
"373",15070,30,106.2,1,"oldest","very rare","small"
"374",15078,12,818.65,4,"very recent","frequent","very large"
"375",15079,23,141.95,1,"old","very rare","small"
"376",15081,25,111.15,1,"old","very rare","small"
"377",15093,30,623.73,1,"oldest","very rare","very large"
"378",15100,24,700.8,2,"old","rare","very large"
"379",15101,17,102.28,1,"recent","very rare","small"
"380",15107,18,177.05,2,"recent","rare","small"
"381",15111,30,288.5,1,"oldest","very rare","medium"
"382",15157,16,1085.46,1,"very recent","very rare","very large"
"383",15159,19,1860.98,2,"recent","rare","very large"
"384",15160,15,158.16,1,"very recent","very rare","small"
"385",15165,31,487.75,1,"oldest","very rare","large"
"386",15180,25,87.5,1,"old","very rare","small"
"387",15192,23,315,1,"old","very rare","medium"
"388",15194,16,1558.99,3,"very recent","rare","very large"
"389",15197,16,556.5,1,"very recent","very rare","large"
"390",15204,15,316.58,1,"very recent","very rare","medium"
"391",15208,11,65.4,1,"very recent","very rare","small"
"392",15211,23,383.07,1,"old","very rare","large"
"393",15221,24,403.25,1,"old","very rare","large"
"394",15224,16,322.08,2,"very recent","rare","medium"
"395",15235,9,694.64,3,"very recent","rare","very large"
"396",15246,16,186,1,"very recent","very rare","small"
"397",15260,30,420.5,2,"oldest","rare","large"
"398",15271,23,111.75,1,"old","very rare","small"
"399",15279,12,290.51,1,"very recent","very rare","medium"
"400",15288,23,165.65,1,"old","very rare","small"
"401",15290,17,219.6,1,"recent","very rare","medium"
"402",15291,15,648.9,2,"very recent","rare","very large"
"403",15298,24,397.6,1,"old","very rare","large"
"404",15299,30,1835.01,3,"oldest","rare","very large"
"405",15301,26,673.37,1,"old","very rare","very large"
"406",15304,26,123.15,1,"old","very rare","small"
"407",15311,9,2676.66,9,"very recent","frequent","very large"
"408",15312,12,289.74,1,"very recent","very rare","medium"
"409",15332,24,1661.06,4,"old","frequent","very large"
"410",15347,24,201.6,1,"old","very rare","medium"
"411",15350,31,115.65,1,"oldest","very rare","small"
"412",15351,27,274.67,1,"oldest","very rare","medium"
"413",15353,25,311.65,1,"old","very rare","medium"
"414",15356,18,365.54,2,"recent","rare","large"
"415",15358,23,624.55,2,"old","rare","very large"
"416",15361,19,418.92,1,"recent","very rare","large"
"417",15363,30,326,1,"oldest","very rare","large"
"418",15366,16,105.54,1,"very recent","very rare","small"
"419",15373,17,537.1,2,"recent","rare","large"
"420",15379,16,1491.46,1,"very recent","very rare","very large"
"421",15380,23,230.1,1,"old","very rare","medium"
"422",15384,17,303.57,1,"recent","very rare","medium"
"423",15392,18,338.98,1,"recent","very rare","large"
"424",15394,16,587.66,1,"very recent","very rare","very large"
"425",15426,27,411.42,1,"oldest","very rare","large"
"426",15454,20,179.1,1,"recent","very rare","small"
"427",15456,17,243.22,1,"recent","very rare","medium"
"428",15460,12,216.76,1,"very recent","very rare","medium"
"429",15465,17,867.85,2,"recent","rare","very large"
"430",15482,16,723.64,2,"very recent","rare","very large"
"431",15485,31,950.09,1,"oldest","very rare","very large"
"432",15498,24,976.72,2,"old","rare","very large"
"433",15502,26,929.4,3,"old","rare","very large"
"434",15503,20,147.09,1,"recent","very rare","small"
"435",15512,17,101.2,1,"recent","very rare","small"
"436",15513,23,1313.5,2,"old","rare","very large"
"437",15514,18,1884.71,4,"recent","frequent","very large"
"438",15525,31,313.93,1,"oldest","very rare","medium"
"439",15527,12,221.4,1,"very recent","very rare","medium"
"440",15529,22,321.46,2,"recent","rare","medium"
"441",15532,16,356.35,1,"very recent","very rare","large"
"442",15544,30,354.54,1,"oldest","very rare","large"
"443",15545,29,135.33,1,"oldest","very rare","small"
"444",15547,20,767.37,1,"recent","very rare","very large"
"445",15555,19,988.57,3,"recent","rare","very large"
"446",15562,9,134.55,1,"very recent","very rare","small"
"447",15563,16,270.19,1,"very recent","very rare","medium"
"448",15570,15,1064.64,3,"very recent","rare","very large"
"449",15574,16,590.15,3,"very recent","rare","very large"
"450",15581,11,325.96,4,"very recent","frequent","large"
"451",15587,9,344.88,1,"very recent","very rare","large"
"452",15596,23,402.32,1,"old","very rare","large"
"453",15601,16,1236.45,2,"very recent","rare","very large"
"454",15602,18,152.55,2,"recent","rare","small"
"455",15605,31,194.85,1,"oldest","very rare","small"
"456",15615,17,1081.19,3,"recent","rare","very large"
"457",15620,16,424.49,1,"very recent","very rare","large"
"458",15628,24,319.18,1,"old","very rare","medium"
"459",15640,13,2766.69,3,"very recent","rare","very large"
"460",15641,17,308.37,1,"recent","very rare","medium"
"461",15646,30,189.8,1,"oldest","very rare","small"
"462",15649,25,510,1,"old","very rare","large"
"463",15658,30,306.2,1,"oldest","very rare","medium"
"464",15660,23,209.3,1,"old","very rare","medium"
"465",15680,24,478.89,1,"old","very rare","large"
"466",15689,19,103.5,1,"recent","very rare","small"
"467",15694,23,832.33,2,"old","rare","very large"
"468",15708,27,350.68,1,"oldest","very rare","large"
"469",15713,24,171.15,1,"old","very rare","small"
"470",15716,27,547.1,1,"oldest","very rare","large"
"471",15723,22,203.1,1,"recent","very rare","medium"
"472",15727,17,1536.85,1,"recent","very rare","very large"
"473",15732,30,138.1,1,"oldest","very rare","small"
"474",15738,30,329.65,1,"oldest","very rare","large"
"475",15750,24,340.52,2,"old","rare","large"
"476",15752,30,259.65,1,"oldest","very rare","medium"
"477",15759,16,97.24,1,"very recent","very rare","small"
"478",15769,29,91.8,1,"oldest","very rare","small"
"479",15777,19,365.55,1,"recent","very rare","large"
"480",15780,15,177.15,1,"very recent","very rare","small"
"481",15789,16,351.3,1,"very recent","very rare","large"
"482",15805,22,370.8,1,"recent","very rare","large"
"483",15808,19,2249.85,2,"recent","rare","very large"
"484",15811,15,438.8,2,"very recent","rare","large"
"485",15822,17,440.2,1,"recent","very rare","large"
"486",15827,30,190.93,2,"oldest","rare","small"
"487",15838,25,957.5,1,"old","very rare","very large"
"488",15854,19,230.1,1,"recent","very rare","medium"
"489",15856,9,3281.31,3,"very recent","rare","very large"
"490",15858,25,383.93,1,"old","very rare","large"
"491",15860,26,102.66,1,"old","very rare","small"
"492",15862,31,354.23,1,"oldest","very rare","large"
"493",15867,12,557.22,3,"very recent","rare","large"
"494",15880,27,343.28,1,"oldest","very rare","large"
"495",15881,19,155.25,2,"recent","rare","small"
"496",15882,26,369.04,2,"old","rare","large"
"497",15889,27,294.52,1,"oldest","very rare","medium"
"498",15894,27,156.09,1,"oldest","very rare","small"
"499",15898,25,521.69,2,"old","rare","large"
"500",15899,26,56.25,1,"old","very rare","small"
"501",15916,24,232.45,2,"old","rare","medium"
"502",15919,26,270.72,1,"old","very rare","medium"
"503",15922,31,369.5,1,"oldest","very rare","large"
"504",15923,30,127.08,1,"oldest","very rare","small"
"505",15945,23,181,1,"old","very rare","small"
"506",15950,17,428.82,1,"recent","very rare","large"
"507",15953,27,209.84,1,"oldest","very rare","medium"
"508",15955,30,572.38,1,"oldest","very rare","large"
"509",15965,25,156.19,1,"old","very rare","small"
"510",15973,24,307.82,1,"old","very rare","medium"
"511",15983,18,1148.27,3,"recent","rare","very large"
"512",15984,26,122.7,1,"old","very rare","small"
"513",15987,26,113.48,1,"old","very rare","small"
"514",15996,24,263.25,1,"old","very rare","medium"
"515",15998,20,863.39,1,"recent","very rare","very large"
"516",16003,17,1181,1,"recent","very rare","very large"
"517",16010,20,110.1,1,"recent","very rare","small"
"518",16011,20,406.1,2,"recent","rare","large"
"519",16013,15,2973,5,"very recent","frequent","very large"
"520",16016,24,382.27,1,"old","very rare","large"
"521",16019,22,219.1,1,"recent","very rare","medium"
"522",16029,11,13112.52,6,"very recent","frequent","very large"
"523",16033,18,309.69,2,"recent","rare","medium"
"524",16037,16,300.46,1,"very recent","very rare","medium"
"525",16048,31,256.44,2,"oldest","rare","medium"
"526",16059,25,118.25,1,"old","very rare","small"
"527",16062,22,247.56,1,"recent","very rare","medium"
"528",16065,23,372.09,1,"old","very rare","large"
"529",16081,24,157.6,1,"old","very rare","small"
"530",16083,18,337.98,1,"recent","very rare","large"
"531",16086,25,177.26,1,"old","very rare","small"
"532",16098,31,430.6,1,"oldest","very rare","large"
"533",16122,24,105.72,1,"old","very rare","small"
"534",16125,25,289.35,1,"old","very rare","medium"
"535",16134,17,283.53,1,"recent","very rare","medium"
"536",16140,29,124.14,1,"oldest","very rare","small"
"537",16143,12,811.35,2,"very recent","rare","very large"
"538",16145,17,302.78,1,"recent","very rare","medium"
"539",16150,30,393.42,1,"oldest","very rare","large"
"540",16153,12,215.01,1,"very recent","very rare","medium"
"541",16161,17,576.3,3,"recent","rare","large"
"542",16163,23,441.6,1,"old","very rare","large"
"543",16168,27,275.8,1,"oldest","very rare","medium"
"544",16186,30,307.68,1,"oldest","very rare","medium"
